ts_unix_ms,elapsed_ms,reasm_ip_ns,reasm_ip_cnt,reasm_tcp_ns,reasm_tcp_cnt,lockwait_ns,parse_ns,parse_cnt,dump_ns,dump_cnt
1782709106888,87131,490512474,192936,0,0,2440363830,23711914597,192835,37283082,192279
1782709107140,87383,490512474,192936,0,0,2440363830,23711914597,192835,37283082,192279
1782709107393,87636,490512474,192936,0,0,2440363830,23711914597,192835,37283082,192279
1782709107646,87890,490512474,192936,0,0,2440363830,23711914597,192835,37283082,192279
1782709107903,88146,490594740,193084,0,0,2440374085,23723958594,192909,37283987,192283
1782709108366,88609,490594740,193084,0,0,2440374085,23723958594,192909,37283987,192283
1782709108619,88863,490594740,193084,0,0,2440374085,23723958594,192909,37283987,192283
1782709108869,89112,492577004,193791,0,0,2440486070,23798246436,193574,37355262,192908
1782709109123,89366,495442460,195151,0,0,2459967771,24013010442,194933,37539179,194267
1782709109374,89617,506699942,197328,0,0,2467218239,24238767757,197110,38146145,196438
1782709109631,89875,510422032,199884,0,0,2481155353,24470507896,199666,39001967,198885
1782709109881,90124,514503170,202223,0,0,2493444875,24696579811,202005,39212089,200916
1782709110133,90376,518983376,204209,0,0,2508660187,24913816914,203991,39387794,202526
1782709110385,90628,520906369,205933,0,0,2529281511,25138101845,205715,39567127,204060
1782709110640,90884,524907589,207340,0,0,2559375832,25349493179,207122,39705793,205157
1782709110893,91136,528417350,209158,0,0,2574629582,25558178967,208940,39854608,206480
1782709111145,91388,531824090,210660,0,0,2612008394,25774164429,210442,40023793,207845
1782709111396,91639,534356051,212758,0,0,2626315616,26002939032,212540,40645227,209353
1782709111647,91891,538043500,214460,0,0,2636913567,26232501553,214242,40823374,210981
1782709111898,92141,540384289,216118,0,0,2651027133,26459412036,215900,41486747,212608
1782709112150,92393,546494861,217909,0,0,2659250698,26660934120,217691,41666048,214380
1782709112405,92648,548760906,219426,0,0,2672326339,26825918947,219208,41804935,215890
1782709112658,92902,554516786,221072,0,0,2684461546,27015891216,220854,41964950,217498
1782709112916,93159,564753397,222898,0,0,2697629062,27238784868,222680,42138023,219229
1782709113167,93410,567800758,225186,0,0,2706429767,27459022724,224968,43355173,221510
1782709113418,93661,571030454,227328,0,0,2728552928,27682721766,227110,43560514,223646
1782709113671,93915,575052075,229501,0,0,2747280639,27904983025,229283,43765426,225806
1782709113923,94166,578054360,232019,0,0,2755648420,28138433395,231801,43971234,227963
1782709114174,94417,580824472,233887,0,0,2777067366,28355141727,233669,44135386,229543
1782709114426,94669,585704236,236155,0,0,2791494707,28580445283,235937,44325728,231424
1782709114679,94923,588013131,237944,0,0,2805816570,28810541413,237726,44473248,232947
1782709114932,95175,590842162,240095,0,0,2824269797,29028353589,239877,44629983,234533
1782709115186,95429,594536123,241907,0,0,2841694887,29254464826,241689,44782229,236054
1782709115437,95680,599137984,243694,0,0,2856076720,29479691512,243476,44946307,237548
1782709115688,95932,602198374,245732,0,0,2880699761,29698367131,245514,45472118,239330
1782709115940,96183,606272857,247514,0,0,2899586154,29922276293,247296,45999443,241011
1782709116191,96434,613010601,249433,0,0,2906398082,30149743362,249215,46532930,242813
