ts_unix_ms,elapsed_ms,reasm_ip_ns,reasm_ip_cnt,reasm_tcp_ns,reasm_tcp_cnt,lockwait_ns,parse_ns,parse_cnt,dump_ns,dump_cnt,sip_parse_ns,sip_group_ns
1782718797293,62489,138586033,80535,0,0,790076463,8374821722,80535,9725486,80535,6597448703,1120829146
1782718797544,62740,140088840,81538,0,0,806032896,8466994509,81538,9804210,81538,6661918902,1138261086
1782718797796,62993,143430661,82814,0,0,821503082,8598281477,82813,9918507,82813,6756099387,1163892770
1782718798049,63245,147078395,84279,0,0,842262368,8785239952,84278,10058732,84278,6897406852,1191763651
1782718798339,63534,149394982,85825,0,0,857036488,8955486690,85824,10202251,85824,7020223052,1218680894
1782718798590,63786,152451088,87189,0,0,876132221,9153777137,87188,10326514,87188,7162642927,1255560197
1782718798841,64037,154558609,88662,0,0,915588771,9351713071,88661,10480097,88661,7302343334,1298557834
1782718799092,64288,156182268,89904,0,0,936717170,9548817310,89903,10594182,89903,7452768144,1326056776
1782718799344,64540,157405147,91019,0,0,947426384,9696431647,91018,10687203,91018,7555055740,1359450099
1782718799596,64792,158027054,91780,0,0,968613044,9767951320,91779,10749597,91779,7605868585,1370998246
1782718799846,65042,159282357,92675,0,0,978160061,9939568453,92674,11397126,92674,7741695922,1396686075
1782718800099,65295,161880883,94175,0,0,996523460,10106724337,94175,11660494,94175,7866016065,1423484998
1782718800351,65547,162692396,94968,0,0,1027099772,10212388767,94967,12104769,94967,7941915950,1436554550
1782718800603,65799,166453930,96554,0,0,1042303345,10412518529,96553,12241719,96553,8091434174,1470200738
1782718800856,66052,173264449,98101,0,0,1062023218,10615783970,98100,12383493,98100,8241387853,1503904166
1782718801107,66303,175304835,99486,0,0,1085391421,10808423832,99485,13024221,99485,8390799879,1530226363
1782718801359,66555,176260323,100538,0,0,1117837797,11000378824,100537,13966809,100537,8524567182,1557063564
1782718801618,66815,179966105,102219,0,0,1130570243,11223857128,102218,14105137,102218,8696810479,1592555254
1782718801871,67066,181797527,103741,0,0,1154008949,11394722810,103741,14249456,103741,8829357249,1616227908
1782718802122,67318,183199672,105208,0,0,1171749374,11594784277,105207,14377292,105207,8985156707,1646720142
1782718802375,67571,185933581,106557,0,0,1189827778,11779027988,106556,14492397,106556,9129282267,1669060645
1782718802626,67823,188420176,107991,0,0,1212938264,11979307763,107990,14616850,107990,9275344431,1699759409
1782718802889,68085,190262561,109527,0,0,1265700944,12167579952,109526,14757538,109526,9406889216,1732894517
1782718803141,68337,191427706,110787,0,0,1285062285,12361585144,110786,14869158,110786,9561539698,1758870581
1782718803392,68588,194852953,112522,0,0,1286081243,12552877894,112521,15015685,112521,9706796666,1786586674
1782718803647,68844,198979849,113960,0,0,1300543040,12744827719,113959,15578481,113959,9841855678,1820924821
1782718803900,69096,202627072,115446,0,0,1315771392,12915993278,115445,15711690,115445,9967077005,1846532402
1782718804151,69347,204045326,116733,0,0,1333729519,13037177624,116733,16190192,116733,10059586883,1864707096
1782718804402,69598,207056412,118237,0,0,1349727726,13189563154,118237,16322436,118237,10172576765,1890523064
1782718804653,69850,209291528,119574,0,0,1379000372,13344750454,119573,16436867,119573,10287690727,1912606214
1782718804903,70099,213122780,121031,0,0,1397048235,13500144810,121030,16557802,121030,10400650710,1939535320
1782718805157,70353,215159085,122470,0,0,1406879453,13665706626,122470,16676892,122470,10531585848,1960593659
1782718805414,70610,217985298,123990,0,0,1415280778,13830874187,123989,16805195,123989,10659876423,1982373057
1782718805666,70862,222467512,125507,0,0,1427684841,14005907520,125506,16928654,125506,10789173749,2012794018
1782718806340,71536,224111100,126228,0,0,1442315665,14079025383,126228,16988920,126228,10845248112,2022981918
1782718806590,71786,226463942,127479,0,0,1498086172,14241807280,127478,17091829,127478,10967306581,2052564111
1782718806850,72046,228544408,128904,0,0,1498296856,14399648154,128904,17216473,128900,11084978496,2075855722
1782718807106,72302,229599362,130150,0,0,1504890814,14524278512,130149,17317418,130145,11181354982,2091131854
1782718807357,72553,232155976,131663,0,0,1518550191,14692662667,131662,17904998,131658,11311600793,2115032423
1782718807608,72805,236275565,133114,0,0,1537175510,14876628302,133113,18028443,133109,11456029437,2135413399
1782718807860,73056,237505422,134528,0,0,1550961596,15017609429,134527,18150257,134523,11564976141,2153609504
1782718808111,73307,240958785,135977,0,0,1564154281,15180610287,135976,18645075,135972,11692334970,2175369998
1782718808362,73558,243941372,137456,0,0,1577967894,15364664453,137455,19224930,137451,11826793525,2205553108
1782718808993,74189,246419654,138871,0,0,1597259399,15501844448,138871,19341110,138867,11934014091,2223437930
1782718809245,74441,248772699,140476,0,0,1618231014,15695467920,140475,20143464,140470,12086830270,2248804318
1782718809496,74692,250020074,141930,0,0,1639891588,15857182704,141929,20263350,141924,12211922137,2268207723
1782718809748,74945,253514595,143743,0,0,1656899665,16083518196,143742,20574035,143737,12382091044,2304924617
1782718809999,75195,255878868,145390,0,0,1672830240,16264239520,145390,21436619,145385,12522509628,2327390729
1782718810250,75446,259950437,147016,0,0,1689196986,16450085832,147015,21576506,147010,12662714383,2356052879
1782718810503,75698,262796524,148558,0,0,1703451995,16614541268,148557,21853362,148552,12785005589,2380514891
1782718810754,75951,267958297,150125,0,0,1714869557,16795981738,150124,21985634,150115,12928702272,2405000023
1782718811006,76201,268488015,150782,0,0,1732463162,16844257778,150782,22037777,150773,12965416350,2412081016
1782718811256,76452,271001654,151523,0,0,1750539251,16912758636,151523,22094474,151514,13015431492,2425077000
1782718811513,76709,273140184,152515,0,0,1759996962,17037158483,152515,22181913,152506,13105089580,2445422453
1782718811766,76963,274698828,153494,0,0,1776196537,17139912077,153494,22262372,153485,13180145076,2458766678
1782718812018,77214,277426217,154997,0,0,1796399280,17346382273,154996,22436387,154987,13344234895,2485067602
1782718812270,77466,280299548,156574,0,0,1826484148,17535084424,156573,22925721,156564,13485306515,2516135000
1782718812520,77716,283342641,158174,0,0,1842667857,17705286828,158173,23101521,158164,13618830104,2537808874
1782718812771,77968,284734484,159632,0,0,1851540884,17886085269,159631,23227931,159622,13753504631,2563781694
1782718813021,78217,286334647,161105,0,0,1867616832,18048787650,161104,23397463,161095,13874989287,2591882863
1782718813273,78469,289993809,162600,0,0,1884429173,18225427422,162599,23533753,162589,14012417419,2618573460
1782718813524,78720,292331021,164009,0,0,1885035975,18379384486,164009,24033054,163999,14129007798,2637653869
1782718813779,78976,294873755,165517,0,0,1898633177,18544989408,165516,24163534,165506,14254117402,2659719150
1782718814032,79228,296844974,166945,0,0,1898835151,18703701564,166944,24281651,166934,14380249974,2677579178
